,country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
152,South Sudan,46,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,6.67,6.95,7.22,7.49,7.77,8.1,8.46,8.85,9.26,9.67,10.07,10.45,10.82,11.18,11.53,11.88,12.23,12.58,12.92,13.26,13.61,13.96,14.31,,
153,Sudan,47,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,25.34,25.54,25.61,25.73,25.66,25.44,25.13,24.66,24.39,23.72,23.11,22.58,21.95,21.41,20.72,20.1,19.35,18.6,18.16,17.47,16.98,16.59,15.71,,
154,Tanzania,48,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,33.94,34.87,35.85,36.89,37.94,39.1,40.27,41.5,42.79,44.13,45.45,46.81,48.15,49.52,50.82,52.16,53.4,54.73,55.96,57.14,58.25,59.44,60.48,,
155,Togo,49,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,4.96,5.09,5.23,5.35,5.48,5.62,5.75,5.89,6.02,6.15,6.29,6.42,6.55,6.67,6.8,6.92,7.03,7.17,7.27,7.4,7.51,7.64,7.74,,
156,Tunisia,50,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.92,0.73,0.57,0.44,0.34,0.26,0.19,0.15,0.11,0.08,0.06,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,,
157,Uganda,51,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,23.82,24.63,25.49,26.41,27.35,28.32,29.31,30.35,31.41,32.51,33.61,34.78,35.98,37.22,38.48,39.78,41.16,42.52,43.92,45.35,46.86,48.36,49.94,,
158,Zambia,52,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,9.08,9.28,9.5,9.71,9.94,10.15,10.4,10.68,10.98,11.29,11.63,12.01,12.42,12.88,13.34,13.86,14.37,14.94,15.51,16.12,16.74,17.39,18.02,,
159,Zimbabwe,53,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,8.08,8.19,8.3,8.46,8.64,8.81,8.98,9.17,9.4,9.6,9.8,10.04,10.27,10.54,10.79,11.04,11.31,11.55,11.79,12.06,12.29,12.55,12.76,,
160,Burkina Faso,1,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,11.29,11.6,11.91,12.22,12.56,12.9,13.23,13.6,13.96,14.32,14.7,15.08,15.43,15.79,16.14,16.5,16.78,5.4,17.4,17.66,17.87,18.1,18.3,,
161,Burundi,2,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,6.38,6.54,6.72,6.93,7.16,7.4,7.65,7.92,8.2,8.47,8.75,9.03,9.3,9.58,9.87,10.18,10.5,7.4,11.21,11.56,11.93,12.29,12.66,,
162,Cape Verde,3,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,2.17,0.12,0.11,0.11,0.1,0.1,,
163,Central African Republic,4,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,3.73,3.81,3.89,3.96,4.03,4.11,4.18,4.25,4.32,4.38,4.43,4.45,4.47,4.47,4.49,4.52,4.57,8.31,4.7,4.79,4.88,4.97,5.08,,
164,Chad,5,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,8.09,8.42,8.77,9.12,9.49,9.84,10.19,10.53,10.87,11.22,11.58,11.94,12.31,12.69,13.05,13.42,13.77,4.2,14.43,14.75,15.06,15.36,15.62,,
165,Comoros,6,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.54,0.55,0.56,0.58,0.59,0.6,0.62,0.63,0.64,0.65,0.67,0.68,0.69,0.71,0.72,0.73,0.75,4.3,0.77,0.78,0.8,0.81,0.82,,
166,Djibouti,7,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.69,0.7,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,2.03,0.88,0.89,0.9,0.91,0.92,,
167,Equatorial Guinea,8,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.5,0.51,0.53,0.55,0.58,0.6,0.62,0.65,0.68,0.7,0.73,0.77,0.79,0.83,0.86,0.9,0.93,5.9,1.01,1.05,1.09,1.13,1.17,,
168,Ethiopia,9,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,65.94,67.88,69.86,71.82,73.8,75.88,77.83,79.87,81.85,83.79,85.77,87.71,89.67,91.66,93.67,95.58,97.39,3.89,101.08,102.87,104.41,106.17,107.68,,
169,Ghana,10,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,17.75,18.1,18.43,18.77,19.12,19.43,19.75,20.02,20.33,20.61,20.76,20.95,21.2,21.31,21.52,21.62,21.75,3.16,21.83,22.0,22.04,22.06,22.09,,
170,Guinea Bissau,11,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.23,1.25,1.28,1.31,1.33,1.36,1.4,1.43,1.46,1.5,1.54,1.58,1.62,1.66,1.71,1.75,1.8,4.95,1.89,1.93,1.98,2.03,2.08,,
171,Kenya,12,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,30.92,31.61,32.38,33.11,33.85,34.57,35.31,36.11,36.84,37.62,38.46,39.26,39.94,40.57,41.15,41.62,41.77,6.95,41.73,41.41,40.87,40.32,39.26,,
172,Liberia,13,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,2.87,2.97,3.05,3.1,3.16,3.25,3.36,3.5,3.65,3.8,3.93,4.06,4.17,4.27,4.37,4.48,4.6,9.02,4.83,4.95,5.07,5.2,5.32,,
173,Libya,14,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,13.76,,,,,,,
174,Malawi,15,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,11.14,11.45,11.76,12.08,12.41,12.77,13.15,13.54,13.96,14.38,14.82,15.25,15.71,16.18,16.68,17.17,17.69,9.0,18.8,19.36,19.94,20.55,21.15,,
175,Mali,16,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,10.89,11.2,11.55,11.91,12.29,12.68,13.11,13.55,14.01,14.48,14.94,15.4,15.86,16.31,16.81,17.31,17.81,3.33,18.92,19.47,20.06,20.64,21.26,,
176,Mauritania,17,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.91,1.92,1.93,1.94,1.95,1.97,1.98,2.01,2.04,2.07,2.11,2.16,2.2,2.25,2.3,2.33,2.38,6.26,2.45,2.49,2.52,2.54,2.57,,
177,Mauritius,18,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.09,0.08,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,3.74,0.02,0.01,0.01,0.01,0.01,,
178,Mozambique,19,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,17.69,18.2,18.72,19.26,19.83,20.42,20.99,21.61,22.21,22.84,23.47,24.12,24.8,25.51,26.21,26.92,27.62,3.05,29.12,29.87,30.63,31.37,32.12,,
179,Sao Tome and Principe,20,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.14,0.14,0.14,0.15,0.15,0.15,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.18,0.19,0.19,0.2,3.51,0.2,0.21,0.21,0.21,0.22,,
180,Senegal,21,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,6.43,6.49,6.55,6.62,6.75,6.92,7.14,7.4,7.75,8.13,8.58,9.06,9.5,10.03,10.44,10.86,11.2,3.64,11.7,11.91,12.04,12.13,12.28,,
181,Sierra Leone,22,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,4.56,4.73,4.95,5.19,5.43,5.65,5.83,6.0,6.15,6.29,6.43,6.59,6.73,6.89,7.04,7.19,7.35,2.69,7.67,7.83,7.98,8.15,8.29,,
182,Somalia,23,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,8.98,9.25,9.53,9.79,10.07,10.35,10.65,10.96,11.28,11.6,11.92,12.26,12.59,12.92,13.28,13.63,13.97,5.29,14.73,15.12,15.48,15.89,16.27,,
183,South Africa,24,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,20.12,19.48,18.81,17.96,17.13,16.26,15.3,14.37,13.46,12.59,11.81,11.13,10.6,10.0,9.38,8.96,8.46,6.51,7.69,7.32,6.99,6.71,6.36,,
184,Togo,25,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,4.96,5.09,5.23,5.35,5.48,5.62,5.75,5.89,6.02,6.15,6.29,6.42,6.55,6.67,6.8,6.92,7.03,3.7,7.27,7.4,7.51,7.64,7.74,,
185,Tunisia,26,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.92,0.73,0.57,0.44,0.34,0.26,0.19,0.15,0.11,0.08,0.06,0.05,0.04,0.03,0.02,0.02,0.02,9.86,0.02,0.02,0.01,0.01,0.01,,
