,country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
618,Guinea Bissau,25,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619,Kenya,26,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,684.91,684.92,684.92,684.92,684.93,685.08,685.08,685.09,745.09,757.17,773.99,772.7,817.7,825.7,827.83,826.83,830.35,841.47,845.48,851.71,853.77,857.87,858.33
620,Lesotho,27,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,75.42,75.42,75.42,74.75,74.75,74.75,72.75,72.75,72.75,72.75,72.75,72.75,74.75,74.18,74.18,74.18,74.18,74.18,74.18,74.18,74.18,74.18,74.18
621,Liberia,28,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.86,4.86,4.86,4.86,4.86,26.86,92.86,92.86,92.86,92.86,92.86,92.86
622,Libya,29,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
623,Madagascar,30,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,105.63,105.63,105.63,105.68,105.59,105.59,105.59,105.62,120.62,120.89,128.82,128.94,161.98,162.09,162.83,163.67,163.73,163.85,163.91,164.21,164.01,164.01,192.01
624,Malawi,31,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,307.59,307.59,307.59,307.59,307.59,307.59,307.59,307.59,307.59,307.59,307.59,307.67,307.67,372.47,372.47,372.47,372.77,372.77,372.9,373.11,373.11,392.21,392.21
625,Mali,32,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,52.7,52.7,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,315.3,315.3,315.3,315.3,315.3,315.3,315.3,315.3,315.3,455.3
626,Mauritania,33,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,Mauritius,34,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,59.44,59.44,59.44,59.44,59.44,59.44,59.44,59.44,59.44,59.44,60.14,60.14,60.04,61.44,61.44,61.44,61.14,61.14,61.14,61.14,61.2,61.2,61.2
628,Morocco,35,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,1166.62,1166.62,1166.62,1265.12,1265.32,1265.32,1265.32,1265.32,1265.32,1285.32,1305.53,1305.53,1305.53,1305.53,1305.53,1305.53,1305.53,1305.53,1305.53,1305.53,1305.53,1305.53,1305.53
629,Mozambique,36,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,2177.43,2177.43,2177.43,2177.43,2177.43,2177.43,2177.43,2177.43,2177.5,2177.5,2177.53,2177.54,2189.67,2189.99,2189.99,2190.78,2190.78,2190.81,2190.81,2190.81,2192.38,2192.38,2192.38
630,Namibia,37,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,330.0,330.0,330.0,330.0,347.0,347.0,347.0,347.0,351.0,351.0,351.0
631,Niger,38,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632,Nigeria,39,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,2080.4,2080.4,2080.4,2080.4,2080.4,2080.4,2080.4,2080.4,2080.4,2080.4,2080.4,2110.4,2110.4,2110.4,2110.4,2110.8,2110.8,2110.8,2110.8,2110.8,2150.8,2150.8,2150.8
633,Rwanda,40,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,40.06,40.06,40.06,40.06,40.06,40.06,40.06,40.16,40.16,40.16,49.65,55.27,56.17,59.92,66.12,94.12,98.13,98.13,98.13,109.0,118.8,118.8,124.14
634,Sao Tome and Principe,41,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
635,Senegal,42,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
636,Seychelles,43,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637,Sierra Leone,44,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,29.0,29.0,54.0,54.0,54.25,54.25,56.25,56.25,56.25,60.89,60.89,60.89,60.89,60.89,60.89
638,Somalia,45,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639,South Africa,46,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,1006.7,1041.7,1041.7,1341.7,702.7,702.7,702.7,702.7,702.76,720.77,734.77,735.1,735.11,735.2,732.5,747.65,747.65,747.65,747.65,747.65,747.65,751.65,751.65
640,South Sudan,47,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,Sudan,48,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,294.0,294.0,294.0,294.0,294.0,322.0,322.0,322.0,322.0,1322.0,1322.0,1322.0,1322.0,1322.0,1322.0,1322.0,1322.0,1322.0,1482.0,1482.0,1482.0,1482.0,1482.0
642,Tanzania,49,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,581.45,581.49,581.72,581.72,581.72,566.22,566.93,566.93,566.93,567.73,567.75,567.8,571.98,572.28,572.3,579.24,587.45,589.14,588.53,596.03,597.73,598.23,598.55
643,Togo,50,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,67.4,67.4,67.4,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6
644,Tunisia,51,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,66.0,66.0,66.0,66.0,66.0
645,Uganda,52,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,260.0,260.0,300.0,300.0,300.0,315.0,315.0,315.0,395.3,408.3,432.7,432.7,586.31,695.41,695.41,695.41,695.41,706.91,744.15,1004.41,1010.91,1010.91,1032.71
646,Zambia,53,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,1789.18,1789.18,1789.18,1729.18,1729.18,1729.18,1729.18,1669.94,1669.94,1677.94,1891.94,1891.94,1898.94,2258.94,2258.94,2268.41,2388.41,2398.41,2398.41,2399.05,2400.05,2706.05,3165.05
647,Zimbabwe,54,Electricity installed capacity in Hydropower,MW,Electricity,Technical,Electricity installed capacity in Hydropower (MW),https://africa-energy-portal.org/database,Africa Energy Portal,667.18,667.18,667.18,667.18,667.18,667.18,667.18,667.18,751.18,751.18,752.31,752.33,752.33,757.37,757.37,772.39,776.14,780.03,1080.04,1080.02,1080.02,1080.02,1080.02
648,Algeria,1,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,5846.21,5842.7,6333.81,6465.24,6757.24,7576.02,8017.26,8629.46,8740.33,11565.66,11751.09,11857.06,13317.88,15632.26,16491.36,17733.73,19574.4,19995.9,21583.9,23923.5,24763.5,25219.5,26019.5
649,Angola,2,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,194.2,197.4,197.4,197.4,199.4,199.4,200.42,230.42,232.52,232.52,388.52,543.82,831.32,1204.02,1318.52,1376.52,1384.52,2336.86,2336.86,2356.86,2356.86,2356.86,2356.86
650,Benin,3,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,56.0,60.0,60.0,60.0,60.0,61.0,142.0,169.0,193.0,144.0,98.0,99.0,61.0,139.89,100.0,100.0,200.0,200.0,174.0,301.0,301.0,301.0,301.0
651,Botswana,4,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,227.0,227.0,317.0,317.0,317.0,917.0,917.0,917.0,917.0,917.0,917.0,917.0,917.0,917.0
652,Burkina Faso,5,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,48.0,48.0,48.0,150.0,181.0,204.0,226.0,223.0,224.0,224.0,210.0,272.0,329.0,218.0,256.0,296.0,293.0,289.16,289.16,339.16,339.16,389.16,389.16
653,Burundi,6,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,15.5,15.5,20.5,20.5,20.5,20.5,50.5,50.5,50.5,50.5,50.5,50.5
654,Cameroon,7,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,71.0,70.0,142.5,142.5,152.5,157.5,182.5,202.5,217.9,303.0,284.1,268.3,368.3,538.75,538.75,592.45,592.45,705.0,705.0,705.0,705.0,706.36,706.36
655,Cape Verde,8,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,76.11,76.11,76.11,76.11,77.19,77.03,68.22,72.02,86.39,83.24,92.32,99.64,123.04,108.36,108.36,145.33,143.34,143.34,140.94,133.5,141.9,141.9,165.0
656,Central African Republic,9,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,21.0,21.0,21.0,21.0,21.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,72.0,72.0
657,Chad,10,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,29.0,29.0,29.0,151.0,153.0,155.0,155.0,177.0,177.0,177.0,177.0,177.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0
658,Comoros,11,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,12.7,12.7,11.3,11.6,24.05,17.5,16.3,14.04,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6
659,Congo Democratic Republic,12,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,29.0,39.0,26.0,28.0,28.0,29.0,29.0,29.0,31.84,31.84,31.84,31.84,75.57
660,Congo Republic,13,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,28.0,28.0,53.0,53.0,53.0,53.0,53.0,110.5,110.5,110.5,424.5,424.5,424.5,424.5,424.5,424.5,424.5,426.66,426.66,426.66,596.66,596.66,596.66
661,Cote d'Ivoire,14,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,625.14,625.14,625.14,625.14,625.14,625.14,625.14,625.14,625.14,625.14,814.14,814.14,851.14,951.14,1066.14,1210.14,1325.14,1325.14,1325.14,1355.14,1355.14,1395.14,1576.14
662,Djibouti,15,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,85.0,100.0,110.0,112.0,118.0,118.0,118.0,118.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,123.0,123.0,123.0,123.0,123.0,123.0
663,Egypt,16,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,14356.0,14349.0,14181.0,15917.0,16535.0,18169.0,19619.0,20119.0,20960.0,22119.0,24245.0,26275.0,28000.0,29215.0,29215.0,31661.9,35266.0,41396.15,50942.5,52743.8,53242.89,53359.8,53359.8
664,Equatorial Guinea,17,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,30.2,30.2,30.2,30.2,30.2,30.2,30.2,54.2,54.2,54.2,74.2,74.2,222.2,222.2,222.2,222.2,246.2,270.2,273.97,273.97,273.97,273.97,273.97
665,Eritrea,18,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,164.0,164.0,164.0,166.0,166.0,166.0,166.0,166.0,138.95,138.95,138.95,139.0,139.0,139.0,139.0,159.0,159.0,205.0,206.0,206.0,206.0,206.0,206.0
666,Eswatini,19,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
667,Ethiopia,20,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,160.75,209.65,195.29,136.98,196.38,196.46,197.01,153.75,202.65,188.29,129.0,189.0,189.0,190.0,190.0,143.0,99.2,99.2,87.0,104.0,104.0,104.0,104.0
668,Gabon,21,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,173.2,173.2,171.6,176.0,176.0,174.0,176.0,210.0,204.0,203.0,226.0,229.0,280.0,273.0,268.0,269.6,295.7,289.0,279.47,279.47,279.47,279.47,279.47
669,Gambia,22,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,29.0,29.0,32.0,35.0,40.0,44.0,48.0,53.0,53.0,62.0,74.0,74.0,74.0,91.4,91.4,91.4,91.4,91.4,102.0,102.0,102.0,120.0,120.0
670,Ghana,23,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,580.0,580.0,580.0,580.0,550.0,550.0,550.0,755.0,801.0,790.0,1034.5,989.5,1099.5,1231.5,1231.5,1606.5,2188.5,2992.5,3113.0,3473.0,3638.5,3848.5,3913.5
671,Guinea,24,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,208.0,208.0,208.0,208.0,208.0,208.0,208.0,216.0,191.0,195.0,124.0,77.2,86.6,210.6,210.6,235.6,226.0,243.0,247.0,226.8,376.0,428.0,428.0
672,Guinea Bissau,25,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,21.0,21.0,21.0,22.0,22.0,22.0,23.0,23.0,27.2,27.2,27.2,27.2,27.2,27.2,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
673,Kenya,26,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,233.0,233.0,233.0,407.0,407.0,349.3,289.8,389.3,442.7,445.9,484.2,570.5,570.6,577.4,671.1,827.82,833.82,802.52,806.72,807.02,749.32,750.42,681.9
674,Lesotho,27,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,0.82,0.82,0.82,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.14,0.14
675,Liberia,28,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,70.0,70.0,70.0,70.0,73.0,73.0,73.0,78.0,78.0,78.0,87.4,91.0,91.0,92.6,92.6,92.6,98.0,98.0,98.0,98.0,98.0,98.0,98.0
676,Libya,29,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,4253.0,4253.0,4418.0,4418.0,4418.0,5042.0,5042.0,5792.0,5792.0,5792.0,8669.0,8669.0,8669.0,9169.0,9619.0,9619.0,9713.0,10238.0,10511.0,10511.0,10511.0,10811.0,10996.0
677,Madagascar,30,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,122.0,122.0,122.0,142.0,167.0,197.0,235.17,243.12,282.2,282.2,379.22,379.22,379.22,379.0,514.0,514.0,514.0,574.0,622.0,622.0,622.0,622.0,622.0
678,Malawi,31,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,38.11,38.11,38.11,23.11,33.81,33.81,33.81,33.81,18.81,26.97,26.97,27.77,27.77,27.77,27.77,26.77,35.87,94.27,120.27,132.1,132.1,132.1,132.1
679,Mali,32,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,208.0,208.0,208.0,208.0,208.0,208.0,208.0,216.0,191.0,206.5,229.4,290.7,291.2,333.2,352.0,357.2,419.5,459.3,458.9,471.0,482.1,486.7,509.6
680,Mauritania,33,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,123.0,123.0,133.0,135.0,145.0,145.0,156.0,156.0,172.1,182.1,212.1,212.1,212.1,225.1,233.85,413.85,413.85,413.85,449.75,464.63,464.63,504.63,504.63
681,Mauritius,34,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,468.42,498.27,495.27,494.58,498.48,524.28,563.88,595.83,574.97,585.47,614.88,606.85,632.3,631.7,623.4,621.1,641.8,711.8,640.0,640.0,640.0,640.0,640.0
682,Morocco,35,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,3168.0,3168.0,3189.0,3189.0,3302.0,3917.0,3917.0,3917.0,3917.0,4633.0,4800.0,4800.0,5115.0,5525.0,5875.0,5875.0,5947.0,6314.0,7701.0,7440.4,7140.4,7365.4,7140.0
683,Mozambique,36,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,24.88,24.88,26.34,27.84,27.84,27.84,27.84,40.49,44.09,44.09,44.09,42.74,150.64,277.54,323.54,528.64,508.64,508.64,614.44,637.44,637.44,637.44,638.44
684,Namibia,37,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,145.6,155.6,155.6,178.91,178.91,178.91,208.91,208.91,183.31,183.31,183.31,183.31,183.31,183.31,183.31
685,Niger,38,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,182.6,182.6,182.6,182.6,182.6,182.6,182.6,182.6,182.6,182.6,182.6,226.6,256.6,256.6,256.6,256.6,256.6,336.6,336.6,352.6,352.6,352.6,448.6
686,Nigeria,39,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,3500.0,3500.0,3500.0,4700.0,4700.0,4900.0,5502.0,6022.0,6531.0,6764.0,6487.0,6972.0,6972.0,7892.0,8458.0,8458.0,10403.0,10433.0,10894.0,10936.5,11001.7,11010.2,11015.2
687,Rwanda,40,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,2.64,2.64,2.64,2.64,2.64,15.14,30.14,30.14,30.14,53.74,53.74,53.74,53.74,53.74,53.74,99.14,114.14,114.14,114.14,114.14,114.14,114.14,149.14
688,Sao Tome and Principe,41,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,1.28,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,5.48,12.28,14.68,14.68,14.68,16.78,21.6,27.6,27.6,27.6,28.3,28.3,28.3,28.3
689,Senegal,42,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,404.4,407.5,407.5,410.5,410.5,411.5,456.9,456.9,541.5,534.5,531.5,532.9,539.0,561.6,578.0,579.0,703.5,703.5,978.7,968.7,968.7,968.7,1088.7
690,Seychelles,43,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,88.5,89.79,83.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,89.29,84.29,84.42,87.15,103.86,104.43,102.5,108.87,106.08,106.08,106.08
691,Sierra Leone,44,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,21.28,36.54,36.54,36.54,45.2,72.7,72.7,72.7,102.7,138.7,138.7,138.7,138.7
692,Somalia,45,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,60.0,60.0,60.0,66.0,66.0,60.0,60.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,100.0,100.0,100.0,106.0,106.0
693,South Africa,46,Electricity installed capacity in Non-renewable energy,MW,Electricity,Technical,Electricity installed capacity in Non-renewable energy (MW),https://africa-energy-portal.org/database,Africa Energy Portal,34700.99,36839.99,36839.99,36839.99,36839.99,37440.0,37636.0,40300.3,41385.3,41485.3,41585.3,42090.3,42465.3,42555.3,44314.0,44314.0,45901.0,46904.0,48282.99,48281.0,50574.4,52124.4,52130.4
